account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000020,Richardson Group,20,Tech,Tech,959 Rivera Square Suite 934,Reyesview,CA,49931,Prospect,18016578,25,2020-12-16
ACC000021,Galvan PLC,21,Manufacturing,Manufacturing,861 Sandra Drives Apt. 382,Elizabethhaven,MH,18126,Prospect,49030871,100,2020-11-30
ACC000022,"Smith, Sanders and Palmer",22,Retailer,Retail,987 Jason Spur,Dylanfort,MT,97995,Partner,25564823,250,2021-03-25
ACC000023,Powers LLC,23,Tech,Tech,1713 Becker Mountains Apt. 950,Jennifertown,ND,17321,Prospect,21862245,10,2021-04-14
ACC000024,Montgomery Inc,24,Manufacturing,Manufacturing,4715 Page View Suite 884,Wayneton,TN,96234,Customer,21269695,1000,2021-07-02
ACC000025,"Hansen, Bowen and Miller",25,Retailer,Retail,4225 Eddie Loop,North Katiefort,CO,41311,Customer,14258818,500,2021-03-11
ACC000026,"Kennedy, Hansen and Thomas",26,Tech,Tech,8711 Tony Plain,North Melissaport,NJ,17394,Prospect,33602842,1000,2022-07-28
ACC000027,Patterson-Henderson,27,Manufacturing,Manufacturing,0694 Andrew Garden,East Deniseton,FL,68169,Customer,17875807,50,2021-05-20
ACC000028,Miller LLC,28,Retailer,Retail,780 Matthew Bypass Apt. 536,East Renee,NV,6277,Prospect,37772777,5000,2021-06-22
ACC000029,Martin-Robinson,29,Tech,Tech,937 Eric Squares,Heidichester,VA,52486,Prospect,39330901,1000,2022-03-28
ACC000030,"Gomez, Fleming and Becker",30,Manufacturing,Manufacturing,430 Anthony Street,Juareztown,NV,27452,Partner,14818366,50,2022-11-09
ACC000031,"Harmon, Briggs and Porter",31,Retailer,Retail,046 Reyes Forge,Shannonfort,AK,5665,Partner,6200827,10,2020-08-12
ACC000032,"Reed, Thomas and Fitzgerald",32,Tech,Tech,45061 Oneill Square,Emilyshire,RI,93155,Customer,42207191,50,2022-05-14
ACC000033,Davidson Group,33,Manufacturing,Manufacturing,095 Stephanie Club Apt. 338,Baldwinside,MI,83413,Prospect,4363272,1000,2022-02-20
ACC000034,"Diaz, Nelson and Montgomery",34,Retailer,Retail,46959 Jose Lights Suite 501,Lake Michelle,IN,35489,Prospect,31510296,5000,2021-05-29
ACC000035,Stephenson-Wallace,35,Tech,Tech,664 Strong Underpass,Bergerport,TN,26380,Prospect,870478,25,2021-06-30
ACC000036,"Larson, Gonzalez and Robinson",36,Manufacturing,Manufacturing,4738 Lisa Valleys Apt. 116,Lake Deborahfort,KS,49952,Prospect,22928789,25,2021-08-24
ACC000037,"Neal, Clayton and Ramos",37,Retailer,Retail,08398 Laura Crest,East Jennifer,ND,6300,Partner,10713787,2500,2020-01-07
ACC000038,Patel and Sons,38,Tech,Tech,7194 Michelle Field,Taylorfurt,IN,99570,Prospect,48396952,250,2022-10-22
ACC000039,Browning-Guerrero,39,Manufacturing,Manufacturing,653 Clark Mount,Zhangshire,WV,51288,Customer,34169940,25,2021-09-03
ACC000040,Harper LLC,40,Retailer,Retail,485 Garcia Knolls,Leahfort,MP,74356,Prospect,34168679,100,2020-11-09
ACC000041,Conner Inc,41,Tech,Tech,97520 Larry Fall,South Peter,AR,22542,Partner,10941372,5000,2022-12-22
ACC000042,Fuller Inc,42,Manufacturing,Manufacturing,1194 Lisa Motorway Suite 449,New Jennifer,MD,15682,Customer,40294490,500,2022-09-27
ACC000043,"Clements, Carr and Russell",43,Retailer,Retail,007 Perez Circle Apt. 846,Lake Jennifermouth,GU,63244,Customer,7607315,500,2021-09-21
ACC000044,Villegas PLC,44,Tech,Tech,5066 Hanna Stream Suite 916,New Scott,MP,89361,Customer,3987292,100,2020-06-10
ACC000045,Hernandez-Thomas,45,Manufacturing,Manufacturing,74038 Ramirez Lodge,East Anitaland,DC,88872,Customer,49217487,2500,2020-05-21
ACC000046,Cross PLC,46,Retailer,Retail,05160 Kelly Lock,Larsonburgh,OH,74773,Prospect,8539645,50,2022-08-31
ACC000047,Zhang-Arroyo,47,Tech,Tech,71636 Trevino Spring Apt. 509,Port Jennifermouth,NM,2240,Prospect,11181482,250,2022-12-16
ACC000048,"Lopez, Hart and Boyle",48,Manufacturing,Manufacturing,263 Mclean Burgs Suite 266,Port Traci,AK,27124,Prospect,28496306,100,2021-02-15
ACC000049,Houston Group,49,Retailer,Retail,043 Gardner Pines,Stoutville,NC,41589,Prospect,21018926,1000,2022-02-03
ACC000050,"Morris, Wallace and Cook",50,Tech,Tech,0381 Herrera Knoll Suite 347,Whiteheadfurt,MA,11748,Partner,34833926,2500,2020-09-04
ACC000051,"Walker, Soto and Miller",51,Manufacturing,Manufacturing,1178 Jackson Stravenue Apt. 393,Alexborough,DC,72933,Customer,15179183,25,2021-11-23
ACC000052,Chandler-Taylor,52,Retailer,Retail,771 Snyder Field,Lake Elaine,VT,37678,Customer,39580729,5000,2021-04-16
ACC000053,Martin Inc,53,Tech,Tech,24757 Dillon Glen Apt. 307,South Jamesland,AR,74359,Prospect,14878538,10,2020-05-25
ACC000054,Taylor Inc,54,Manufacturing,Manufacturing,41553 Kyle Ports,Lake Stanley,CO,92510,Prospect,42452602,10,2021-04-13
ACC000055,"Collins, Barnes and Reyes",55,Retailer,Retail,69733 Kenneth Radial Suite 980,East Erinbury,NJ,3234,Customer,2208087,500,2020-05-25
ACC000056,"Powell, Abbott and Mendez",56,Tech,Tech,024 Paul Motorway Suite 765,Baileymouth,OK,22594,Prospect,16072220,250,2022-09-21
ACC000057,"Anderson, Bailey and Moore",57,Manufacturing,Manufacturing,47042 Victor Flats Apt. 662,South Kristy,IA,89702,Customer,36287376,50,2022-08-26
ACC000058,Henderson LLC,58,Retailer,Retail,05148 Amy Stravenue,Jennifermouth,WI,26605,Customer,31840676,1000,2021-01-24
ACC000059,Smith Group,59,Tech,Tech,516 Moore Skyway,Rebeccaside,MS,7979,Customer,6604916,1000,2021-12-26
ACC000060,"Morris, Johnson and Miranda",60,Manufacturing,Manufacturing,25721 Edwards River,Dawsonchester,MP,41274,Partner,27688606,2500,2020-04-20
ACC000061,Garcia-Lee,61,Retailer,Retail,011 Haley Circles,Andersonstad,AZ,18695,Prospect,43952655,25,2020-05-04
ACC000062,Martinez-Lambert,62,Tech,Tech,04421 Porter Harbors Suite 217,Williamsmouth,KY,84073,Partner,48969586,500,2020-08-11
ACC000063,"Ross, Smith and Andrade",63,Manufacturing,Manufacturing,92225 Klein Mountain Suite 166,West Leah,DE,66385,Customer,12957392,100,2022-07-07
ACC000064,"Garcia, White and Ward",64,Retailer,Retail,2053 Karen Squares Suite 731,Jasonmouth,VA,41150,Customer,28411997,50,2021-07-24
ACC000065,Moore Inc,65,Tech,Tech,467 Anderson Ramp,Hughesview,IL,37386,Partner,16864226,25,2022-06-26
ACC000066,Schroeder and Sons,66,Manufacturing,Manufacturing,8813 Davis Drive,North Codymouth,SC,74476,Prospect,6670543,10,2020-01-31
ACC000067,Glenn LLC,67,Retailer,Retail,718 Hamilton Hollow,Morganside,CA,15711,Customer,15963159,50,2022-04-12
ACC000068,"Zamora, Castro and Smith",68,Tech,Tech,612 Lee Locks Suite 594,Janicetown,PW,11986,Partner,32403416,100,2022-04-01
ACC000069,Moore Inc,69,Manufacturing,Manufacturing,8795 James Mountains,New Lori,UT,86132,Customer,11148610,1000,2020-01-05
ACC000070,Benson-Wells,70,Retailer,Retail,337 Kenneth Tunnel,East Martha,NH,2644,Partner,17897475,2500,2021-08-07
ACC000071,Simmons Inc,71,Tech,Tech,838 Johnson Wall Apt. 636,North Anthonyberg,WY,52882,Partner,46847464,5000,2022-09-23
ACC000072,Moore Group,72,Manufacturing,Manufacturing,5691 Jerry Spring Apt. 848,Dawnstad,VI,59581,Customer,12843830,250,2021-03-21
ACC000073,Brennan-Pierce,73,Retailer,Retail,43395 Cunningham Villages,South Tracybury,AK,88583,Customer,38968131,5000,2020-05-04
ACC000074,Harrison Group,74,Tech,Tech,147 Lindsey Mountains Apt. 006,New Aaronburgh,NC,6227,Prospect,21145662,10,2020-04-12
ACC000075,"Vazquez, Hopkins and Davis",75,Manufacturing,Manufacturing,87935 Penny Falls,Port Shanemouth,WA,29570,Prospect,32096735,5000,2022-12-23
ACC000076,"Blake, Lang and Novak",76,Retailer,Retail,87295 Adrian Mountains,South Christopher,ID,30593,Customer,3917123,5000,2020-06-13
ACC000077,"Gaines, Walton and Morrison",77,Tech,Tech,332 Allen Fords Apt. 430,North Aprilberg,IA,44098,Customer,4698388,25,2021-04-26
ACC000078,"Henry, Watson and Green",78,Manufacturing,Manufacturing,805 Jerry Rapid,Juanfort,NY,86088,Partner,8145454,100,2020-03-22
ACC000079,Suarez-Peterson,79,Retailer,Retail,10796 Boyd Ridges,Ericton,MP,20536,Prospect,5601813,1000,2022-12-06
ACC000080,Wilkinson-Booker,80,Tech,Tech,79200 Cheryl Summit Apt. 444,New Tiffany,DE,36336,Partner,17599689,100,2021-10-05
ACC000081,"Carlson, Macias and Williams",81,Manufacturing,Manufacturing,9796 Sanchez Key Apt. 949,Rickyshire,MT,21688,Customer,17925088,1000,2020-09-25
ACC000082,Campbell LLC,82,Retailer,Retail,27039 Murphy Heights,West Vanessashire,PW,3854,Prospect,43418824,250,2022-07-25
ACC000083,"Bowen, Ryan and Clarke",83,Tech,Tech,78887 Tapia Tunnel,South Benjamin,AR,8467,Partner,4968286,10,2022-07-27
ACC000084,"Phillips, Carter and Yang",84,Manufacturing,Manufacturing,74239 Jonathan Road,Bowmanport,DC,58778,Prospect,37881863,25,2020-05-30
ACC000085,Phillips-Riley,85,Retailer,Retail,707 Rebecca Ville,East Scott,PW,22874,Prospect,14404543,5000,2021-06-27
ACC000086,"Jones, Blair and Kim",86,Tech,Tech,575 Berry Bypass,Harrischester,WY,52384,Customer,23521586,25,2021-05-15
ACC000087,Allen-Lawrence,87,Manufacturing,Manufacturing,901 Evan Terrace Apt. 525,Ericksonmouth,WY,22016,Partner,19225180,50,2022-06-16
ACC000088,Schneider-Wilson,88,Retailer,Retail,58654 Hines Prairie,New Matthew,TN,90052,Prospect,47313765,250,2022-12-19
ACC000089,"Hernandez, Murray and Barnes",89,Tech,Tech,0896 Castillo Roads,South Rhondaside,NJ,72785,Customer,44919540,5000,2021-09-05
ACC000090,Page-Hall,90,Manufacturing,Manufacturing,4035 Gomez Courts Suite 713,Murphytown,MT,38372,Prospect,7051572,50,2021-06-25
ACC000091,King Inc,91,Retailer,Retail,13897 Barajas Cape Apt. 232,North Donna,WY,3615,Customer,7283062,5000,2020-11-14
ACC000092,"Everett, Diaz and Morris",92,Tech,Tech,17490 Evelyn Street Suite 561,New Craigborough,NC,7965,Partner,19008343,100,2021-12-03
ACC000093,"Bullock, James and Stephens",93,Manufacturing,Manufacturing,05430 White Turnpike,West David,IA,38597,Customer,46237151,250,2022-11-01
ACC000094,"Burns, Walker and Kelly",94,Retailer,Retail,8679 Melanie Alley,East Victorland,AL,61386,Partner,16952461,10,2020-07-08
ACC000095,"Bennett, Gilmore and Perez",95,Tech,Tech,2018 Larry Coves,Brownmouth,DE,77471,Prospect,28525688,250,2020-03-31
ACC000096,Lambert-Carter,96,Manufacturing,Manufacturing,3731 Shane Drive,South Bruce,NJ,8992,Customer,22484600,50,2021-06-20
ACC000097,Smith-Robertson,97,Retailer,Retail,896 Patrick Court Apt. 047,Ricardobury,PA,46216,Customer,49843164,2500,2022-05-25
ACC000098,Sims and Sons,98,Tech,Tech,27523 Sydney Lake Apt. 901,Parkerside,IL,9402,Prospect,748922,25,2020-06-03
ACC000099,"Abbott, Kelley and Irwin",99,Manufacturing,Manufacturing,67877 Mccann Track,North Ruthborough,MD,53359,Prospect,10102863,5000,2020-03-14
ACC000100,Green Inc,100,Retailer,Retail,641 Williams Cove Suite 805,Kaylaburgh,WV,47058,Partner,39191555,5000,2020-10-30
ACC000101,Porter Group,101,Tech,Tech,9696 Fernandez Village,Ayersstad,MO,63212,Partner,8652724,10,2021-09-23
ACC000102,Keller-York,102,Manufacturing,Manufacturing,944 Burch Passage Apt. 652,Lake Grace,FL,96958,Partner,2777299,500,2021-03-06
ACC000103,"Huffman, Andrade and Norris",103,Retailer,Retail,2058 Mullen Causeway Suite 432,Ramseyport,CO,65696,Prospect,16845657,25,2021-12-25
ACC000104,Jackson-Clarke,104,Tech,Tech,984 Timothy Station Suite 558,South Laurieland,NM,64187,Prospect,27371524,50,2021-04-29
ACC000105,Morgan LLC,105,Manufacturing,Manufacturing,8352 Lee Common Suite 969,Knightfort,SC,40173,Customer,11981783,1000,2020-02-20
ACC000106,"Ramsey, Scott and Fernandez",106,Retailer,Retail,5345 Heidi Dale,New Patriciafurt,MT,2136,Customer,49530004,500,2022-04-23
ACC000107,"Jackson, Robbins and Leach",107,Tech,Tech,533 Cortez Wells Apt. 477,South Richardtown,OK,33721,Prospect,49428876,100,2021-06-30
ACC000108,House LLC,108,Manufacturing,Manufacturing,735 Moore Ranch Apt. 663,North Kristi,OH,82693,Customer,47161982,25,2022-02-22
ACC000109,Lane Ltd,109,Retailer,Retail,39106 Roberta Flats Apt. 127,Walkerville,MT,70465,Customer,31687472,100,2021-02-12
ACC000110,"Braun, Davis and Oliver",110,Tech,Tech,389 Hicks Springs Suite 781,New Alexander,FL,97341,Partner,23565179,250,2021-04-11
ACC000111,Gibson-Hudson,111,Manufacturing,Manufacturing,507 Steve Divide,Port Leslie,WY,39310,Customer,1688093,100,2022-03-27
ACC000112,Rivera Ltd,112,Retailer,Retail,248 Farmer Viaduct,New Sandra,SD,24407,Partner,18796734,25,2021-07-25
ACC000113,Douglas Group,113,Tech,Tech,440 Miller Shore,New Susanton,MP,11786,Partner,43149110,5000,2022-03-29
ACC000114,Schmitt-Cruz,114,Manufacturing,Manufacturing,42189 Malone Radial Apt. 807,South Frankfort,PA,11517,Prospect,36084828,500,2020-02-26
ACC000115,"Harris, Smith and Shaw",115,Retailer,Retail,8641 Maldonado Rue Suite 493,South Christina,MA,9019,Customer,17629855,50,2021-06-27
ACC000116,Shaw PLC,116,Tech,Tech,323 Garcia Hollow Apt. 264,Arianahaven,VI,24809,Customer,7374771,1000,2021-12-08
ACC000117,Clark-Long,117,Manufacturing,Manufacturing,27942 Ward Junctions Apt. 774,Stevensonfurt,CA,49733,Prospect,21150528,1000,2022-11-13
ACC000118,Nelson PLC,118,Retailer,Retail,88572 Joseph Branch Suite 138,East Catherineport,UT,42170,Customer,25950027,100,2021-06-05
ACC000119,"Harris, Brown and Davila",119,Tech,Tech,707 Mcgee Valley Suite 475,Wardtown,MN,4407,Customer,47665775,1000,2020-01-04
ACC000120,Salazar-Farley,120,Manufacturing,Manufacturing,9352 Lambert Run,North Samuelside,MA,96303,Prospect,36234901,100,2022-01-15
ACC000121,Duran-English,121,Retailer,Retail,56381 Danielle Skyway,South Michael,TN,7498,Partner,4795862,500,2021-10-04
ACC000122,"Nelson, Pham and Smith",122,Tech,Tech,08989 Garcia Park Suite 055,New Wendyside,PW,58061,Prospect,8463463,250,2022-11-04
ACC000123,"Mckenzie, Nelson and Hill",123,Manufacturing,Manufacturing,9687 Mejia Road Suite 729,Sheriburgh,VT,23963,Partner,44854425,1000,2021-10-30
ACC000124,Welch Ltd,124,Retailer,Retail,32520 Paul Cape,South Sabrinastad,OK,40212,Partner,46888864,250,2020-09-17
ACC000125,Clark PLC,125,Tech,Tech,6781 Amanda Burg,Alberttown,WI,39299,Customer,28315675,1000,2020-12-22
ACC000126,Jones and Sons,126,Manufacturing,Manufacturing,2736 Wilson Road,Wilsontown,SC,24203,Prospect,38292007,250,2022-04-11
ACC000127,"Harris, Turner and Mccall",127,Retailer,Retail,9200 Williams Course Suite 623,North Jacob,GU,83890,Prospect,127242,250,2021-08-10
ACC000128,"Smith, Juarez and Howard",128,Tech,Tech,7804 Carter Greens,Lake Tiffanystad,MO,1451,Customer,28949305,500,2022-08-10
ACC000129,Reeves-Oconnor,129,Manufacturing,Manufacturing,4431 Atkinson Island,Hannahberg,AZ,61798,Partner,29772841,100,2022-11-12
ACC000130,Perez-Reed,130,Retailer,Retail,78075 Bryan Shoals,Lake Bethhaven,WV,26255,Partner,49489536,50,2020-06-22
ACC000131,Moody-Reynolds,131,Tech,Tech,0479 Jesse Falls,Wilcoxhaven,DC,22196,Partner,34691398,500,2020-07-10
ACC000132,Baker Group,132,Manufacturing,Manufacturing,50682 Williams Green,North Kathy,OK,40268,Customer,45250553,250,2021-04-05
ACC000133,Johnson Inc,133,Retailer,Retail,23200 Alicia Springs,Aliciaton,IA,63341,Customer,9988757,10,2020-04-04
ACC000134,Frank-Edwards,134,Tech,Tech,773 Daniel Port,West Brandon,OR,94691,Customer,31985860,25,2022-07-21
ACC000135,Quinn Group,135,Manufacturing,Manufacturing,16882 Russell Burgs Suite 457,East Jorgetown,NE,6568,Partner,42362839,100,2022-02-25
ACC000136,"Flores, David and Barnes",136,Retailer,Retail,449 Joyce Lights Suite 518,New Alishaborough,AR,91032,Partner,26920249,100,2020-10-29
ACC000137,Garrett-Herrera,137,Tech,Tech,5712 Young Isle,South Tara,SC,88594,Prospect,46245559,10,2020-08-06
ACC000138,"Hernandez, Robertson and Hughes",138,Manufacturing,Manufacturing,843 Grant Drive Apt. 301,Jennifershire,ME,53748,Partner,14786180,50,2022-11-26
ACC000139,Burgess PLC,139,Retailer,Retail,986 Donald Corners Apt. 284,Dianafurt,UT,82892,Partner,3470098,5000,2021-05-25
ACC000140,"Cole, Evans and Fleming",140,Tech,Tech,8391 Benjamin Walks,East Monicaburgh,MT,72804,Customer,30732634,50,2022-08-09
ACC000141,Spencer-Foley,141,Manufacturing,Manufacturing,1647 Holland Forks Suite 231,South Ashley,DC,27015,Prospect,35743657,5000,2021-10-11
ACC000142,Snyder-Montes,142,Retailer,Retail,3872 Kristy Row,Anabury,MA,18909,Partner,41214401,5000,2022-05-23
ACC000143,"Brooks, Wright and Fields",143,Tech,Tech,445 Stephanie Underpass,Coreyville,HI,26640,Prospect,30024755,50,2022-08-30
ACC000144,"Mullen, Weber and Valenzuela",144,Manufacturing,Manufacturing,514 Pamela Stream,Christopherville,MA,6247,Partner,17494050,100,2021-07-21
ACC000145,"Little, Robles and May",145,Retailer,Retail,8063 Dakota Center Apt. 374,West Wyattland,NE,32226,Prospect,32620755,100,2021-07-16
ACC000146,Wilson-Brown,146,Tech,Tech,4640 Miller Parkways,Port Sarahside,MD,7104,Partner,5299819,250,2021-04-25
ACC000147,Thomas-Baldwin,147,Manufacturing,Manufacturing,609 Eaton Skyway,New Andrea,NV,21567,Partner,22638346,500,2020-06-14
ACC000148,"Allen, Gilbert and Allen",148,Retailer,Retail,73182 Derek Ranch,Ericborough,AK,15524,Customer,10222074,100,2022-02-23
ACC000149,Cortez Inc,149,Tech,Tech,22140 Maynard Burgs Apt. 984,Robersonfort,OH,61195,Prospect,10354587,100,2020-05-11
ACC000150,Cook-Rice,150,Manufacturing,Manufacturing,698 Chelsea Vista Apt. 523,Alexisberg,RI,49934,Partner,27453530,500,2022-08-12
ACC000151,Trujillo Group,151,Retailer,Retail,8201 Patrick Center,North Joshua,WI,19864,Partner,4278581,100,2022-05-10
ACC000152,Chase-Guzman,152,Tech,Tech,48228 Jackson Heights,South Toddland,CA,12998,Partner,39296905,10,2022-02-18
ACC000153,Smith-Baldwin,153,Manufacturing,Manufacturing,2091 Huff Extensions,Lake Colton,IL,25234,Partner,495679,500,2021-09-03
ACC000154,"Kim, Hoffman and Castaneda",154,Retailer,Retail,9395 Brooke Villages Suite 029,Grahamborough,WI,54187,Partner,28220042,5000,2021-03-27
ACC000155,"Johnson, Garner and Salazar",155,Tech,Tech,392 Blair Corner,New Cynthia,IN,35575,Partner,14825136,250,2022-06-11
ACC000156,"Espinoza, Page and Miller",156,Manufacturing,Manufacturing,2087 Cain Mills Suite 569,Bakerfurt,ME,29854,Partner,2047822,1000,2021-11-19
ACC000157,Fitzpatrick PLC,157,Retailer,Retail,327 Alison Common,Lake Christopherfort,MA,33411,Prospect,45676440,1000,2020-12-04
ACC000158,Chung-Anderson,158,Tech,Tech,9205 Brett Via Apt. 769,Greerport,HI,83057,Partner,8664956,5000,2020-02-25
ACC000159,Watts Inc,159,Manufacturing,Manufacturing,583 Thomas Throughway Suite 186,Leslieborough,KS,90147,Partner,39821251,10,2020-06-20
ACC000160,"Kim, Franco and Flores",160,Retailer,Retail,9131 Ashley View Apt. 635,Brittanyville,SD,69727,Prospect,28863716,50,2022-08-03
ACC000161,Evans Inc,161,Tech,Tech,778 Rebecca Mews,Christineshire,VI,12895,Customer,3474544,250,2022-02-15
ACC000162,"Carson, Reed and Carter",162,Manufacturing,Manufacturing,3314 Kline Crest Suite 992,Jasonbury,DE,20671,Partner,14304281,2500,2021-10-31
ACC000163,Hart PLC,163,Retailer,Retail,1562 Sarah Unions,Markshire,OK,97525,Partner,25542729,250,2022-05-13
ACC000164,Chambers LLC,164,Tech,Tech,706 Francisco Station,Alanshire,HI,43013,Partner,5596634,2500,2020-02-09
ACC000165,"Lopez, Smith and Sloan",165,Manufacturing,Manufacturing,82208 Campbell Orchard,East Markland,MH,62568,Prospect,36299799,10,2021-12-17
ACC000166,Chase-Todd,166,Retailer,Retail,145 Lisa Extensions Suite 602,Lake Allison,CA,11012,Customer,43730431,25,2020-03-23
ACC000167,"Baker, Harper and Richards",167,Tech,Tech,338 Collins Crest Suite 572,New Katieview,NV,81064,Customer,16694901,100,2020-02-11
ACC000168,"Campbell, Rodriguez and Ingram",168,Manufacturing,Manufacturing,6377 Bond Shoals Apt. 969,Davidton,AR,41358,Prospect,10326206,100,2020-09-15
ACC000169,Campos LLC,169,Retailer,Retail,743 Kirby Estates Suite 598,Lake Justin,PW,50284,Partner,45026622,25,2021-03-22
ACC000170,"Molina, Hoover and Kennedy",170,Tech,Tech,87314 Gutierrez Road Apt. 221,North Dustin,VI,84123,Partner,47040299,250,2022-01-25
ACC000171,Vargas-Berger,171,Manufacturing,Manufacturing,095 Gomez Island,Port Tanya,NJ,65373,Customer,40760770,25,2020-12-01
ACC000172,Stewart and Sons,172,Retailer,Retail,3700 Lisa Shoal Apt. 881,Hansonbury,MN,48432,Partner,7354384,10,2021-09-30
ACC000173,"Smith, Riley and Donaldson",173,Tech,Tech,2930 Cannon Turnpike,West Lauraville,VI,29685,Prospect,45556006,1000,2022-03-23
ACC000174,Clark Group,174,Manufacturing,Manufacturing,612 Nicolas Prairie,Maciashaven,AL,39045,Prospect,13409686,25,2021-05-12
ACC000175,Campbell-Rangel,175,Retailer,Retail,449 Dennis Mountain Apt. 972,West Scott,NY,6856,Customer,46887830,250,2020-09-04
ACC000176,Duke-Norton,176,Tech,Tech,7120 Megan Flat,New Stephanie,PA,72939,Prospect,2856102,500,2022-12-27
ACC000177,Chavez Ltd,177,Manufacturing,Manufacturing,666 Barbara Islands,Davidside,MS,59896,Partner,44493945,500,2020-05-21
ACC000178,White PLC,178,Retailer,Retail,8010 Oneal Trail Suite 805,Sarahhaven,NV,1536,Prospect,43555892,500,2020-01-26
ACC000179,Black PLC,179,Tech,Tech,01709 Glass Orchard,Bradleymouth,AL,11301,Partner,32996879,25,2022-06-06
ACC000180,Nash Group,180,Manufacturing,Manufacturing,852 Matthew Tunnel,East Kevinborough,TN,20116,Partner,42753394,2500,2020-11-09
ACC000181,Marquez Ltd,181,Retailer,Retail,8254 Thompson Green Suite 919,East Patrickhaven,HI,8405,Partner,11920351,5000,2021-07-07
ACC000182,Elliott-Williams,182,Tech,Tech,1891 Nicole Stream Apt. 494,Davidborough,PA,89988,Prospect,36216172,2500,2022-08-10
ACC000183,Johnston and Sons,183,Manufacturing,Manufacturing,6274 Wheeler Pines,Murphychester,MS,65815,Partner,49158338,250,2021-10-22
ACC000184,Chen Group,184,Retailer,Retail,70688 Sue Mountains,Stoneville,WA,61989,Customer,5915848,250,2022-07-12
ACC000185,"Jordan, Taylor and Carr",185,Tech,Tech,4900 Willis Branch,East Ronald,CA,64245,Customer,31286057,1000,2021-11-19
ACC000186,Boyd-Rasmussen,186,Manufacturing,Manufacturing,54478 James Tunnel Suite 137,Lake Alisonburgh,OH,68146,Customer,33272347,500,2021-01-07
ACC000187,Rich-Bond,187,Retailer,Retail,91622 Norman Villages,Brownside,IA,35753,Partner,14335122,500,2021-06-13
ACC000188,"Mullins, Knapp and Orozco",188,Tech,Tech,737 Nguyen Club Apt. 066,West Mark,CO,99719,Partner,18867563,250,2020-01-21
ACC000189,Davis LLC,189,Manufacturing,Manufacturing,4078 Sanchez Crossing Suite 155,Lake Davidtown,AK,32623,Prospect,12921579,25,2021-05-09
ACC000190,Williams-Adams,190,Retailer,Retail,774 Matthew Rapids,Port Chelsea,MP,96328,Prospect,27374929,2500,2021-05-07
ACC000191,Spencer LLC,191,Tech,Tech,334 Tara Key,North Nathan,WY,46733,Prospect,32050067,2500,2022-07-06
