opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000056,56.0,ACC000022,Deal 56,Closed Won,13050.08,100.0,2022-02-09,2021-09-07,Purchased List,Existing Customer - Downgrade,
OPP00000057,57.0,ACC000023,Deal 57,Closed Won,158223.41,100.0,2024-11-11,2024-07-29,Purchased List,Existing Customer - Downgrade,38445
OPP00000058,58.0,ACC000125,Deal 58,Closed Won,53509.71,100.0,2022-06-20,2022-05-07,Web,Existing Customer - Upgrade,10902
OPP00000059,59.0,ACC000239,Deal 59,Closed Won,73522.26,100.0,2024-03-01,2023-04-27,Web,Existing Customer - Replacement,49839
OPP00000060,60.0,ACC000998,Deal 60,Closed Won,187156.38,100.0,2025-07-04,2024-12-27,Phone Inquiry,New Customer,39674
OPP00000061,61.0,ACC000613,Deal 61,Closed Won,150409.09,100.0,2024-02-13,2021-12-21,Phone Inquiry,Existing Customer - Upgrade,
OPP00000062,62.0,ACC000758,Deal 62,Closed Won,197300.6,100.0,2022-01-23,2021-09-15,Partner Referral,Existing Customer - Upgrade,
OPP00000063,63.0,ACC000386,Deal 63,Closed Won,184675.51,100.0,2024-11-05,2023-12-05,Purchased List,Existing Customer - Replacement,46503
OPP00000064,64.0,ACC000549,Deal 64,Closed Won,62206.58,100.0,2023-03-19,2023-02-12,Web,New Customer,41984
OPP00000065,65.0,ACC000138,Deal 65,Closed Won,154421.74,100.0,2023-04-02,2021-09-27,Partner Referral,Existing Customer - Downgrade,
OPP00000066,66.0,ACC000686,Deal 66,Closed Won,6023.4,100.0,2025-08-08,2025-01-29,Other,Existing Customer - Replacement,1027
OPP00000067,67.0,ACC000463,Deal 67,Closed Won,61173.99,100.0,2024-09-28,2021-08-21,Phone Inquiry,Existing Customer - Replacement,
OPP00000068,68.0,ACC000640,Deal 68,Closed Won,189266.45,100.0,2024-06-20,2021-08-23,Partner Referral,Existing Customer - Upgrade,
OPP00000069,69.0,ACC000938,Deal 69,Closed Won,89325.13,100.0,2024-11-03,2024-07-28,Purchased List,New Customer,42047
OPP00000070,70.0,ACC000712,Deal 70,Closed Won,128584.22,100.0,2023-04-03,2022-04-28,Phone Inquiry,Existing Customer - Upgrade,28456
OPP00000071,71.0,ACC000766,Deal 71,Closed Won,123331.95,100.0,2022-12-14,2022-10-02,Web,Existing Customer - Upgrade,38164
OPP00000072,72.0,ACC000189,Deal 72,Closed Won,166319.9,100.0,2023-08-06,2022-08-25,Partner Referral,New Customer,10538
OPP00000073,73.0,ACC000929,Deal 73,Closed Won,132003.46,100.0,2024-03-17,2021-09-02,Partner Referral,New Customer,
OPP00000074,74.0,ACC000111,Deal 74,Closed Won,295273.98,100.0,2024-12-07,2024-08-28,Web,New Customer,17624
OPP00000075,75.0,ACC000725,Deal 75,Closed Won,26187.61,100.0,2025-12-18,2021-11-28,Web,Existing Customer - Downgrade,
OPP00000076,76.0,ACC000192,Deal 76,Closed Won,63955.63,100.0,2022-06-04,2022-03-17,Purchased List,New Customer,46772
OPP00000077,77.0,ACC000958,Deal 77,Closed Won,113212.15,100.0,2023-11-16,2023-07-24,Partner Referral,Existing Customer - Downgrade,26635
OPP00000078,78.0,ACC000333,Deal 78,Closed Won,50916.49,100.0,2025-05-27,2021-11-08,Phone Inquiry,New Customer,
OPP00000079,79.0,ACC000477,Deal 79,Closed Won,43370.61,100.0,2023-06-28,2021-09-27,Purchased List,New Customer,
OPP00000080,80.0,ACC000758,Deal 80,Closed Won,44449.95,100.0,2023-02-23,2023-01-16,Partner Referral,Existing Customer - Upgrade,8143
OPP00000081,81.0,ACC000128,Deal 81,Closed Won,62821.62,100.0,2023-05-19,2023-04-12,Web,New Customer,6113
OPP00000082,82.0,ACC000003,Deal 82,Closed Won,84402.24,100.0,2022-09-13,2022-05-15,Web,New Customer,20213
OPP00000083,83.0,ACC000290,Deal 83,Closed Won,150645.66,100.0,2022-12-05,2021-08-25,Phone Inquiry,Existing Customer - Upgrade,
OPP00000084,84.0,ACC000663,Deal 84,Closed Won,28815.96,100.0,2024-07-07,2021-10-06,Other,Existing Customer - Upgrade,
OPP00000085,85.0,ACC000619,Deal 85,Closed Won,125342.23,100.0,2023-05-16,2023-04-14,Purchased List,Existing Customer - Replacement,46475
OPP00000086,86.0,ACC000211,Deal 86,Closed Won,157393.66,100.0,2022-12-31,2021-11-16,Web,Existing Customer - Downgrade,
OPP00000087,87.0,ACC000261,Deal 87,Closed Won,288557.84,100.0,2025-02-09,2024-03-13,Purchased List,Existing Customer - Replacement,21469
OPP00000088,88.0,ACC000197,Deal 88,Closed Won,196570.87,100.0,2022-01-02,2021-10-25,Web,New Customer,
OPP00000089,89.0,ACC000788,Deal 89,Closed Won,109128.09,100.0,2024-03-17,2023-10-03,Web,Existing Customer - Downgrade,42007
OPP00000090,90.0,ACC000183,Deal 90,Closed Won,18644.76,100.0,2024-12-01,2021-11-04,Web,New Customer,
OPP00000091,91.0,ACC000270,Deal 91,Closed Won,65456.71,100.0,2023-03-17,2022-04-09,Partner Referral,Existing Customer - Upgrade,45330
OPP00000092,92.0,ACC000271,Deal 92,Closed Won,77266.7,100.0,2025-06-13,2025-03-20,Partner Referral,Existing Customer - Replacement,31572
OPP00000093,93.0,ACC000432,Deal 93,Closed Won,82071.41,100.0,2022-03-17,2022-02-05,Web,New Customer,39708
OPP00000094,94.0,ACC000689,Deal 94,Closed Won,8267.46,100.0,2023-07-19,2023-01-10,Web,Existing Customer - Replacement,15643
OPP00000095,95.0,ACC000182,Deal 95,Closed Won,154019.55,100.0,2022-08-17,2021-09-04,Partner Referral,Existing Customer - Downgrade,
OPP00000096,96.0,ACC000193,Deal 96,Closed Won,298916.07,100.0,2022-09-02,2022-06-02,Web,New Customer,31139
OPP00000097,97.0,ACC000842,Deal 97,Closed Won,131147.43,100.0,2022-02-04,2022-01-03,Phone Inquiry,Existing Customer - Upgrade,15526
OPP00000098,98.0,ACC000674,Deal 98,Closed Won,66139.21,100.0,2023-02-27,2021-10-01,Partner Referral,Existing Customer - Downgrade,
OPP00000099,99.0,ACC000115,Deal 99,Closed Won,17524.01,100.0,2022-10-23,2021-10-10,Web,Existing Customer - Replacement,
OPP00000100,100.0,ACC000008,Deal 100,Closed Won,107909.41,100.0,2023-08-07,2022-09-01,Phone Inquiry,New Customer,9416
OPP00000101,101.0,ACC000956,Deal 101,Closed Won,219893.34,100.0,2024-05-22,2024-02-09,Purchased List,Existing Customer - Downgrade,20735
OPP00000102,102.0,ACC000119,Deal 102,Closed Won,42588.31,100.0,2024-03-15,2023-11-20,Purchased List,Existing Customer - Downgrade,38785
OPP00000103,103.0,ACC000281,Deal 103,Closed Won,123251.69,100.0,2025-02-16,2024-08-27,Phone Inquiry,New Customer,30471
OPP00000104,104.0,ACC000480,Deal 104,Closed Won,181066.92,100.0,2022-06-15,2022-01-02,Web,Existing Customer - Upgrade,43722
OPP00000105,105.0,ACC000972,Deal 105,Closed Won,209210.15,100.0,2024-03-06,2023-10-22,Purchased List,Existing Customer - Downgrade,29617
OPP00000106,106.0,ACC000356,Deal 106,Closed Won,162384.71,100.0,2023-04-04,2021-07-31,Purchased List,Existing Customer - Upgrade,
OPP00000107,107.0,ACC000493,Deal 107,Closed Won,89679.4,100.0,2024-07-16,2023-07-18,Partner Referral,New Customer,42349
OPP00000108,108.0,ACC000965,Deal 108,Closed Won,78789.41,100.0,2023-06-30,2023-02-22,Purchased List,Existing Customer - Downgrade,26114
OPP00000109,109.0,ACC000816,Deal 109,Closed Won,73846.76,100.0,2025-06-13,2024-07-25,Purchased List,Existing Customer - Downgrade,17521
OPP00000110,110.0,ACC000794,Deal 110,Closed Won,146250.36,100.0,2025-09-11,2025-06-10,Web,Existing Customer - Replacement,42849
OPP00000111,111.0,ACC000591,Deal 111,Closed Won,220661.91,100.0,2024-08-05,2024-02-29,Web,Existing Customer - Upgrade,45495
OPP00000112,112.0,ACC000503,Deal 112,Closed Won,145525.05,100.0,2022-09-04,2022-03-17,Other,New Customer,17987
OPP00000113,113.0,ACC000823,Deal 113,Closed Won,24458.57,100.0,2023-12-22,2021-09-01,Phone Inquiry,Existing Customer - Downgrade,
OPP00000114,114.0,ACC000818,Deal 114,Closed Won,185726.25,100.0,2022-07-31,2022-02-18,Purchased List,Existing Customer - Upgrade,8908
OPP00000115,115.0,ACC000064,Deal 115,Closed Won,74850.97,100.0,2022-11-05,2022-05-26,Other,New Customer,33184
OPP00000116,116.0,ACC000414,Deal 116,Closed Won,29494.51,100.0,2022-11-22,2021-12-02,Phone Inquiry,Existing Customer - Downgrade,
OPP00000117,117.0,ACC000270,Deal 117,Closed Won,159570.03,100.0,2023-06-20,2021-08-11,Phone Inquiry,New Customer,
OPP00000118,118.0,ACC000115,Deal 118,Closed Won,9987.9,100.0,2025-03-12,2021-08-09,Partner Referral,Existing Customer - Upgrade,
OPP00000119,119.0,ACC000908,Deal 119,Closed Won,97041.52,100.0,2022-12-01,2022-04-13,Partner Referral,New Customer,21773
OPP00000120,120.0,ACC000581,Deal 120,Closed Won,222572.16,100.0,2025-05-06,2024-05-30,Phone Inquiry,Existing Customer - Downgrade,41614
OPP00000121,121.0,ACC000245,Deal 121,Closed Won,192854.11,100.0,2024-07-15,2024-01-02,Phone Inquiry,New Customer,45418
OPP00000122,122.0,ACC000327,Deal 122,Closed Won,312982.92,100.0,2022-08-03,2022-04-27,Purchased List,Existing Customer - Downgrade,48043
OPP00000123,123.0,ACC000012,Deal 123,Closed Won,131615.22,100.0,2023-10-09,2022-12-08,Purchased List,Existing Customer - Downgrade,13886
OPP00000124,124.0,ACC000545,Deal 124,Closed Won,108459.78,100.0,2024-09-11,2021-09-14,Web,Existing Customer - Downgrade,
OPP00000125,125.0,ACC000453,Deal 125,Closed Won,243215.8,100.0,2022-10-03,2022-04-16,Web,Existing Customer - Downgrade,10422
OPP00000126,126.0,ACC000489,Deal 126,Closed Won,190712.17,100.0,2022-10-01,2021-08-26,Web,New Customer,
OPP00000127,127.0,ACC000109,Deal 127,Closed Won,104674.86,100.0,2022-09-10,2021-11-12,Other,Existing Customer - Replacement,
OPP00000128,128.0,ACC000181,Deal 128,Closed Won,73238.93,100.0,2025-09-30,2021-07-26,Other,Existing Customer - Upgrade,
OPP00000129,129.0,ACC000677,Deal 129,Closed Won,123039.08,100.0,2024-10-01,2021-08-18,Partner Referral,Existing Customer - Replacement,
OPP00000130,130.0,ACC000387,Deal 130,Closed Won,321737.24,100.0,2023-04-28,2021-12-05,Phone Inquiry,Existing Customer - Downgrade,
OPP00000131,131.0,ACC000984,Deal 131,Closed Won,149725.2,100.0,2025-07-16,2021-09-09,Other,Existing Customer - Downgrade,
OPP00000132,132.0,ACC000473,Deal 132,Closed Won,205124.69,100.0,2022-02-12,2022-01-02,Purchased List,New Customer,426
OPP00000133,133.0,ACC000203,Deal 133,Closed Won,190888.03,100.0,2022-10-25,2022-04-29,Phone Inquiry,New Customer,45406
OPP00000134,134.0,ACC000609,Deal 134,Closed Won,86994.53,100.0,2022-08-04,2021-10-04,Partner Referral,Existing Customer - Replacement,
OPP00000135,135.0,ACC000545,Deal 135,Closed Won,195088.64,100.0,2024-09-26,2023-11-16,Other,Existing Customer - Replacement,3851
OPP00000136,136.0,ACC000105,Deal 136,Closed Won,51497.33,100.0,2022-10-23,2022-04-07,Web,Existing Customer - Upgrade,27592
OPP00000137,137.0,ACC000743,Deal 137,Closed Won,84807.46,100.0,2024-12-21,2024-01-13,Phone Inquiry,Existing Customer - Downgrade,41067
OPP00000138,138.0,ACC000864,Deal 138,Closed Won,298348.02,100.0,2023-04-23,2021-11-21,Partner Referral,Existing Customer - Upgrade,
OPP00000139,139.0,ACC000681,Deal 139,Closed Won,113872.79,100.0,2022-12-26,2021-11-02,Web,Existing Customer - Downgrade,
OPP00000140,140.0,ACC000361,Deal 140,Closed Won,152890.89,100.0,2024-02-14,2021-10-12,Purchased List,Existing Customer - Upgrade,
OPP00000141,141.0,ACC000714,Deal 141,Closed Won,36754.73,100.0,2025-05-01,2021-09-11,Web,Existing Customer - Downgrade,
OPP00000142,142.0,ACC000695,Deal 142,Closed Won,29740.38,100.0,2023-07-05,2021-11-24,Other,New Customer,
OPP00000143,143.0,ACC000706,Deal 143,Closed Won,93156.57,100.0,2023-01-02,2022-06-15,Purchased List,Existing Customer - Upgrade,15640
OPP00000144,144.0,ACC000985,Deal 144,Closed Won,37181.12,100.0,2024-04-14,2024-01-29,Web,New Customer,7482
OPP00000145,145.0,ACC000874,Deal 145,Closed Won,170875.94,100.0,2024-01-09,2023-08-11,Purchased List,Existing Customer - Downgrade,43298
OPP00000146,146.0,ACC000546,Deal 146,Closed Won,145349.2,100.0,2023-07-05,2021-08-16,Phone Inquiry,Existing Customer - Upgrade,
OPP00000147,147.0,ACC000032,Deal 147,Closed Won,46979.2,100.0,2023-10-13,2023-02-17,Web,Existing Customer - Downgrade,2221
OPP00000148,148.0,ACC000324,Deal 148,Closed Won,81422.88,100.0,2023-08-31,2021-09-20,Other,Existing Customer - Downgrade,
OPP00000149,149.0,ACC000149,Deal 149,Closed Won,192293.97,100.0,2023-03-10,2021-08-20,Other,Existing Customer - Upgrade,
OPP00000150,150.0,ACC000250,Deal 150,Closed Won,215377.3,100.0,2024-02-26,2023-05-13,Purchased List,Existing Customer - Replacement,33268
OPP00000151,151.0,ACC000275,Deal 151,Closed Won,203020.89,100.0,2022-01-31,2021-10-04,Purchased List,Existing Customer - Upgrade,
OPP00000152,152.0,ACC000198,Deal 152,Closed Won,245287.5,100.0,2024-06-27,2023-09-30,Purchased List,Existing Customer - Replacement,8385
OPP00000153,153.0,ACC000701,Deal 153,Closed Won,35986.16,100.0,2024-07-03,2021-07-21,Partner Referral,Existing Customer - Upgrade,
OPP00000154,154.0,ACC000065,Deal 154,Closed Won,108386.74,100.0,2023-03-13,2021-10-25,Phone Inquiry,Existing Customer - Replacement,
OPP00000155,155.0,ACC000938,Deal 155,Closed Won,88506.08,100.0,2024-05-30,2021-09-06,Phone Inquiry,Existing Customer - Upgrade,
OPP00000156,156.0,ACC000330,Deal 156,Closed Won,8446.11,100.0,2023-08-24,2021-08-11,Other,Existing Customer - Replacement,
OPP00000157,157.0,ACC000123,Deal 157,Closed Won,75435.77,100.0,2023-03-15,2022-12-04,Partner Referral,Existing Customer - Downgrade,46980
OPP00000158,158.0,ACC000181,Deal 158,Closed Won,23243.61,100.0,2025-10-10,2025-05-20,Other,Existing Customer - Downgrade,33468
OPP00000159,159.0,ACC000622,Deal 159,Closed Won,23638.82,100.0,2024-08-03,2021-08-01,Partner Referral,Existing Customer - Downgrade,
OPP00000160,160.0,ACC000711,Deal 160,Closed Won,120558.91,100.0,2022-05-05,2021-12-09,Other,New Customer,
OPP00000161,161.0,ACC000391,Deal 161,Closed Won,12177.76,100.0,2025-04-18,2025-03-06,Purchased List,Existing Customer - Upgrade,11738
OPP00000162,162.0,ACC000680,Deal 162,Closed Won,83461.07,100.0,2024-04-24,2021-12-06,Web,Existing Customer - Upgrade,
OPP00000163,163.0,ACC000738,Deal 163,Closed Won,96898.69,100.0,2025-01-29,2021-10-23,Phone Inquiry,Existing Customer - Replacement,
OPP00000164,164.0,ACC000630,Deal 164,Closed Won,118680.99,100.0,2022-03-12,2021-09-29,Phone Inquiry,New Customer,
OPP00000165,165.0,ACC000727,Deal 165,Closed Won,106140.12,100.0,2024-03-01,2023-12-20,Phone Inquiry,New Customer,20311
OPP00000166,166.0,ACC000907,Deal 166,Closed Won,10077.22,100.0,2024-12-22,2021-09-06,Purchased List,New Customer,
OPP00000167,167.0,ACC000711,Deal 167,Closed Won,158479.52,100.0,2023-12-27,2021-08-07,Phone Inquiry,Existing Customer - Downgrade,
OPP00000168,168.0,ACC000218,Deal 168,Closed Won,29114.64,100.0,2025-03-15,2024-08-16,Other,Existing Customer - Replacement,14637
OPP00000169,169.0,ACC000665,Deal 169,Closed Won,11702.06,100.0,2022-07-13,2022-03-21,Purchased List,Existing Customer - Downgrade,17906
OPP00000170,170.0,ACC000480,Deal 170,Closed Won,89779.66,100.0,2023-01-14,2022-09-22,Partner Referral,New Customer,30631
OPP00000171,171.0,ACC000466,Deal 171,Closed Won,254943.91,100.0,2025-12-23,2025-04-05,Partner Referral,Existing Customer - Upgrade,33598
OPP00000172,172.0,ACC000129,Deal 172,Closed Won,288090.05,100.0,2022-08-06,2021-08-21,Phone Inquiry,Existing Customer - Replacement,
OPP00000173,173.0,ACC000420,Deal 173,Closed Won,125441.79,100.0,2024-07-09,2023-09-15,Other,Existing Customer - Upgrade,9759
OPP00000174,174.0,ACC000231,Deal 174,Closed Won,22186.36,100.0,2025-01-28,2021-10-15,Partner Referral,Existing Customer - Downgrade,
OPP00000175,175.0,ACC000938,Deal 175,Closed Won,174114.91,100.0,2023-12-26,2021-10-31,Web,Existing Customer - Upgrade,
OPP00000176,176.0,ACC000946,Deal 176,Closed Won,305231.17,100.0,2022-02-24,2021-11-12,Other,New Customer,
OPP00000177,177.0,ACC000078,Deal 177,Closed Won,26273.22,100.0,2024-12-05,2024-04-16,Web,Existing Customer - Downgrade,38305
OPP00000178,178.0,ACC000077,Deal 178,Closed Won,56127.35,100.0,2022-10-25,2022-02-01,Other,Existing Customer - Replacement,46424
OPP00000179,179.0,ACC000428,Deal 179,Closed Won,115009.59,100.0,2025-02-07,2024-12-15,Phone Inquiry,Existing Customer - Replacement,26110
OPP00000180,180.0,ACC000356,Deal 180,Closed Won,59882.96,100.0,2024-09-01,2024-04-03,Partner Referral,Existing Customer - Downgrade,3231
OPP00000181,181.0,ACC000411,Deal 181,Closed Won,126290.38,100.0,2023-11-01,2022-12-20,Web,Existing Customer - Upgrade,14223
OPP00000182,182.0,ACC000326,Deal 182,Closed Won,47121.33,100.0,2022-03-22,2022-02-14,Other,New Customer,30281
OPP00000183,183.0,ACC000891,Deal 183,Closed Won,49778.29,100.0,2022-01-16,2021-09-18,Purchased List,Existing Customer - Replacement,
OPP00000184,184.0,ACC000337,Deal 184,Closed Won,67144.81,100.0,2022-03-17,2022-01-07,Partner Referral,Existing Customer - Upgrade,29819
OPP00000185,185.0,ACC000102,Deal 185,Closed Won,151496.11,100.0,2022-07-07,2022-05-05,Other,New Customer,12108
OPP00000186,186.0,ACC000921,Deal 186,Closed Won,201348.84,100.0,2023-03-14,2022-06-15,Phone Inquiry,Existing Customer - Downgrade,4400
OPP00000187,187.0,ACC000100,Deal 187,Closed Won,257750.68,100.0,2022-02-10,2022-01-04,Other,Existing Customer - Downgrade,22197
OPP00000188,188.0,ACC000873,Deal 188,Closed Won,62730.66,100.0,2024-05-05,2021-11-20,Partner Referral,Existing Customer - Upgrade,
OPP00000189,189.0,ACC000086,Deal 189,Closed Won,34461.82,100.0,2023-02-09,2022-06-18,Partner Referral,Existing Customer - Replacement,15401
OPP00000190,190.0,ACC000009,Deal 190,Closed Won,218991.25,100.0,2023-01-07,2021-09-21,Partner Referral,Existing Customer - Upgrade,
OPP00000191,191.0,ACC000989,Deal 191,Closed Won,33713.95,100.0,2024-10-18,2021-08-12,Purchased List,New Customer,
OPP00000192,192.0,ACC000438,Deal 192,Closed Won,16761.95,100.0,2024-08-01,2023-08-12,Partner Referral,Existing Customer - Downgrade,30969
OPP00000193,193.0,ACC000526,Deal 193,Closed Won,131317.71,100.0,2023-03-18,2022-10-28,Other,Existing Customer - Upgrade,9456
OPP00000194,194.0,ACC000704,Deal 194,Closed Won,88882.22,100.0,2022-04-04,2021-11-28,Partner Referral,Existing Customer - Downgrade,
OPP00000195,195.0,ACC000607,Deal 195,Closed Won,11728.11,100.0,2025-08-29,2021-11-06,Purchased List,Existing Customer - Replacement,
OPP00000196,196.0,ACC000838,Deal 196,Closed Won,125285.47,100.0,2023-03-13,2022-11-07,Partner Referral,New Customer,27416
